month,function,headcount,fully_loaded_cost
2023-01,Sales,25,187500
2023-01,Marketing,15,135000
2023-01,R&D,40,360000
2023-01,G&A,10,90000
2023-01,Ops,5,45000
2023-02,Sales,26,195000
2023-02,Marketing,15,135000
2023-02,R&D,41,369000
2023-02,G&A,10,90000
2023-02,Ops,5,45000
2023-03,Sales,27,202500
2023-03,Marketing,16,144000
2023-03,R&D,42,378000
2023-03,G&A,10,90000
2023-03,Ops,5,45000
2023-04,Sales,28,210000
2023-04,Marketing,16,144000
2023-04,R&D,43,387000
2023-04,G&A,11,99000
2023-04,Ops,5,45000
2023-05,Sales,29,217500
2023-05,Marketing,17,153000
2023-05,R&D,44,396000
2023-05,G&A,11,99000
2023-05,Ops,6,54000
2023-06,Sales,30,225000
2023-06,Marketing,17,153000
2023-06,R&D,45,405000
2023-06,G&A,11,99000
2023-06,Ops,6,54000
2023-07,Sales,31,232500
2023-07,Marketing,18,162000
2023-07,R&D,46,414000
2023-07,G&A,12,108000
2023-07,Ops,6,54000
2023-08,Sales,32,240000
2023-08,Marketing,18,162000
2023-08,R&D,47,423000
2023-08,G&A,12,108000
2023-08,Ops,7,63000
2023-09,Sales,33,247500
2023-09,Marketing,19,171000
2023-09,R&D,48,432000
2023-09,G&A,12,108000
2023-09,Ops,7,63000
2023-10,Sales,34,255000
2023-10,Marketing,19,171000
2023-10,R&D,49,441000
2023-10,G&A,13,117000
2023-10,Ops,7,63000
2023-11,Sales,35,262500
2023-11,Marketing,20,180000
2023-11,R&D,50,450000
2023-11,G&A,13,117000
2023-11,Ops,8,72000
2023-12,Sales,36,270000
2023-12,Marketing,20,180000
2023-12,R&D,51,459000
2023-12,G&A,13,117000
2023-12,Ops,8,72000
2024-01,Sales,37,277500
2024-01,Marketing,21,189000
2024-01,R&D,52,468000
2024-01,G&A,14,126000
2024-01,Ops,8,72000
2024-02,Sales,38,285000
2024-02,Marketing,21,189000
2024-02,R&D,53,477000
2024-02,G&A,14,126000
2024-02,Ops,9,81000
2024-03,Sales,39,292500
2024-03,Marketing,22,198000
2024-03,R&D,54,486000
2024-03,G&A,14,126000
2024-03,Ops,9,81000
2024-04,Sales,40,300000
2024-04,Marketing,22,198000
2024-04,R&D,55,495000
2024-04,G&A,15,135000
2024-04,Ops,9,81000
2024-05,Sales,41,307500
2024-05,Marketing,23,207000
2024-05,R&D,56,504000
2024-05,G&A,15,135000
2024-05,Ops,10,90000
2024-06,Sales,42,315000
2024-06,Marketing,23,207000
2024-06,R&D,57,513000
2024-06,G&A,15,135000
2024-06,Ops,10,90000
2024-07,Sales,43,322500
2024-07,Marketing,24,216000
2024-07,R&D,58,522000
2024-07,G&A,16,144000
2024-07,Ops,10,90000
2024-08,Sales,44,330000
2024-08,Marketing,24,216000
2024-08,R&D,59,531000
2024-08,G&A,16,144000
2024-08,Ops,11,99000
2024-09,Sales,45,337500
2024-09,Marketing,25,225000
2024-09,R&D,60,540000
2024-09,G&A,16,144000
2024-09,Ops,11,99000
2024-10,Sales,46,345000
2024-10,Marketing,25,225000
2024-10,R&D,61,549000
2024-10,G&A,17,153000
2024-10,Ops,11,99000
2024-11,Sales,47,352500
2024-11,Marketing,26,234000
2024-11,R&D,62,558000
2024-11,G&A,17,153000
2024-11,Ops,12,108000
2024-12,Sales,48,360000
2024-12,Marketing,26,234000
2024-12,R&D,63,567000
2024-12,G&A,17,153000
2024-12,Ops,12,108000


