month,revenue,cogs,opex_sales_marketing,opex_rnd,opex_gna,opex_other
2023-01,2500000,750000,400000,600000,300000,200000
2023-02,2550000,765000,410000,610000,305000,205000
2023-03,2600000,780000,420000,620000,310000,210000
2023-04,2650000,795000,430000,630000,315000,215000
2023-05,2700000,810000,440000,640000,320000,220000
2023-06,2750000,825000,450000,650000,325000,225000
2023-07,2800000,840000,460000,660000,330000,230000
2023-08,2850000,855000,470000,670000,335000,235000
2023-09,2900000,870000,480000,680000,340000,240000
2023-10,2950000,885000,490000,690000,345000,245000
2023-11,3000000,900000,500000,700000,350000,250000
2023-12,3050000,915000,510000,710000,355000,255000
2024-01,3100000,930000,520000,720000,360000,260000
2024-02,3150000,945000,530000,730000,365000,265000
2024-03,3200000,960000,540000,740000,370000,270000
2024-04,3250000,975000,550000,750000,375000,275000
2024-05,3300000,990000,560000,760000,380000,280000
2024-06,3350000,1005000,570000,770000,385000,285000
2024-07,3400000,1020000,580000,780000,390000,290000
2024-08,3450000,1035000,590000,790000,395000,295000
2024-09,3500000,1050000,600000,800000,400000,300000
2024-10,3550000,1065000,610000,810000,405000,305000
2024-11,3600000,1080000,620000,820000,410000,310000
2024-12,3650000,1095000,630000,830000,415000,315000


